rental_id;rental_date;inventory_id;customer_id;return_date;staff_id;last_update;customer_id-2;store_id;first_name;last_name;email;address_id;activebool;create_date;last_update-2;active
2;24-05-2005 22:54;1525;459;28-05-2005 19:40;1;16-02-2006 2:30;459;1;Tommy;Collazo;tommy.collazo@sakilacustomer.org;464;True;14-02-2006;2013-05-26 14:49:45.738;1
3;24-05-2005 23:03;1711;408;01-06-2005 22:12;1;16-02-2006 2:30;408;1;Manuel;Murrell;manuel.murrell@sakilacustomer.org;413;True;14-02-2006;2013-05-26 14:49:45.738;1
4;24-05-2005 23:04;2452;333;03-06-2005 1:43;2;16-02-2006 2:30;333;2;Andrew;Purdy;andrew.purdy@sakilacustomer.org;338;True;14-02-2006;2013-05-26 14:49:45.738;1
5;24-05-2005 23:05;2079;222;02-06-2005 4:33;1;16-02-2006 2:30;222;2;Delores;Hansen;delores.hansen@sakilacustomer.org;226;True;14-02-2006;2013-05-26 14:49:45.738;1
6;24-05-2005 23:08;2792;549;27-05-2005 1:32;1;16-02-2006 2:30;549;1;Nelson;Christenson;nelson.christenson@sakilacustomer.org;555;True;14-02-2006;2013-05-26 14:49:45.738;1
7;24-05-2005 23:11;3995;269;29-05-2005 20:34;2;16-02-2006 2:30;269;1;Cassandra;Walters;cassandra.walters@sakilacustomer.org;274;True;14-02-2006;2013-05-26 14:49:45.738;1
8;24-05-2005 23:31;2346;239;27-05-2005 23:33;2;16-02-2006 2:30;239;2;Minnie;Romero;minnie.romero@sakilacustomer.org;243;True;14-02-2006;2013-05-26 14:49:45.738;1
9;25-05-2005 0:00;2580;126;28-05-2005 0:22;1;16-02-2006 2:30;126;1;Ellen;Simpson;ellen.simpson@sakilacustomer.org;130;True;14-02-2006;2013-05-26 14:49:45.738;1
10;25-05-2005 0:02;1824;399;31-05-2005 22:44;2;16-02-2006 2:30;399;1;Danny;Isom;danny.isom@sakilacustomer.org;404;True;14-02-2006;2013-05-26 14:49:45.738;1
11;25-05-2005 0:09;4443;142;02-06-2005 20:56;2;16-02-2006 2:30;142;1;April;Burns;april.burns@sakilacustomer.org;146;True;14-02-2006;2013-05-26 14:49:45.738;1
12;25-05-2005 0:19;1584;261;30-05-2005 5:44;2;16-02-2006 2:30;261;1;Deanna;Byrd;deanna.byrd@sakilacustomer.org;266;True;14-02-2006;2013-05-26 14:49:45.738;1
13;25-05-2005 0:22;2294;334;30-05-2005 4:28;1;16-02-2006 2:30;334;2;Raymond;Mcwhorter;raymond.mcwhorter@sakilacustomer.org;339;True;14-02-2006;2013-05-26 14:49:45.738;1
14;25-05-2005 0:31;2701;446;26-05-2005 2:56;1;16-02-2006 2:30;446;2;Theodore;Culp;theodore.culp@sakilacustomer.org;451;True;14-02-2006;2013-05-26 14:49:45.738;0
