rental_id;rental_date;inventory_id;customer_id;first_name;last_name;email
2;24-05-2005 22:54;1525;459;Tommy;Collazo;tommy.collazo@sakilacustomer.org
3;24-05-2005 23:03;1711;408;Manuel;Murrell;manuel.murrell@sakilacustomer.org
4;24-05-2005 23:04;2452;333;Andrew;Purdy;andrew.purdy@sakilacustomer.org
5;24-05-2005 23:05;2079;222;Delores;Hansen;delores.hansen@sakilacustomer.org
6;24-05-2005 23:08;2792;549;Nelson;Christenson;nelson.christenson@sakilacustomer.org
7;24-05-2005 23:11;3995;269;Cassandra;Walters;cassandra.walters@sakilacustomer.org
8;24-05-2005 23:31;2346;239;Minnie;Romero;minnie.romero@sakilacustomer.org
9;25-05-2005 0:00;2580;126;Ellen;Simpson;ellen.simpson@sakilacustomer.org
10;25-05-2005 0:02;1824;399;Danny;Isom;danny.isom@sakilacustomer.org
11;25-05-2005 0:09;4443;142;April;Burns;april.burns@sakilacustomer.org
12;25-05-2005 0:19;1584;261;Deanna;Byrd;deanna.byrd@sakilacustomer.org
13;25-05-2005 0:22;2294;334;Raymond;Mcwhorter;raymond.mcwhorter@sakilacustomer.org
14;25-05-2005 0:31;2701;446;Theodore;Culp;theodore.culp@sakilacustomer.org
15;25-05-2005 0:39;3049;319;Ronald;Weiner;ronald.weiner@sakilacustomer.org
16;25-05-2005 0:43;389;316;Steven;Curley;steven.curley@sakilacustomer.org
17;25-05-2005 1:06;830;575;Isaac;Oglesby;isaac.oglesby@sakilacustomer.org
18;25-05-2005 1:10;3376;19;Ruth;Martinez;ruth.martinez@sakilacustomer.org
19;25-05-2005 1:17;1941;456;Ronnie;Ricketts;ronnie.ricketts@sakilacustomer.org
20;25-05-2005 1:48;3517;185;Roberta;Harper;roberta.harper@sakilacustomer.org
21;25-05-2005 1:59;146;388;Craig;Morrell;craig.morrell@sakilacustomer.org
22;25-05-2005 2:19;727;509;Raul;Fortier;raul.fortier@sakilacustomer.org
23;25-05-2005 2:40;4441;438;Barry;Lovelace;barry.lovelace@sakilacustomer.org
24;25-05-2005 2:53;3273;350;Juan;Fraley;juan.fraley@sakilacustomer.org
25;25-05-2005 3:21;3961;37;Pamela;Baker;pamela.baker@sakilacustomer.org
26;25-05-2005 3:36;4371;371;Billy;Poulin;billy.poulin@sakilacustomer.org
27;25-05-2005 3:41;1225;301;Robert;Baughman;robert.baughman@sakilacustomer.org
28;25-05-2005 3:42;4068;232;Constance;Reid;constance.reid@sakilacustomer.org
29;25-05-2005 3:47;611;44;Marie;Turner;marie.turner@sakilacustomer.org
30;25-05-2005 4:01;3744;430;Ray;Houle;ray.houle@sakilacustomer.org
31;25-05-2005 4:05;4482;369;Fred;Wheat;fred.wheat@sakilacustomer.org
32;25-05-2005 4:06;3832;230;Joy;George;joy.george@sakilacustomer.org
33;25-05-2005 4:18;1681;272;Kay;Caldwell;kay.caldwell@sakilacustomer.org
34;25-05-2005 4:19;2613;597;Freddie;Duggan;freddie.duggan@sakilacustomer.org
35;25-05-2005 4:24;1286;484;Roberto;Vu;roberto.vu@sakilacustomer.org
36;25-05-2005 4:36;1308;88;Bonnie;Hughes;bonnie.hughes@sakilacustomer.org
37;25-05-2005 4:44;403;535;Javier;Elrod;javier.elrod@sakilacustomer.org
38;25-05-2005 4:47;2540;302;Michael;Silverman;michael.silverman@sakilacustomer.org
39;25-05-2005 4:51;4466;207;Gertrude;Castillo;gertrude.castillo@sakilacustomer.org
40;25-05-2005 5:09;2638;413;Marvin;Yee;marvin.yee@sakilacustomer.org
41;25-05-2005 5:12;1761;174;Yvonne;Watkins;yvonne.watkins@sakilacustomer.org
42;25-05-2005 5:24;380;523;Harvey;Guajardo;harvey.guajardo@sakilacustomer.org
43;25-05-2005 5:39;2578;532;Neil;Renner;neil.renner@sakilacustomer.org
44;25-05-2005 5:53;3098;207;Gertrude;Castillo;gertrude.castillo@sakilacustomer.org
45;25-05-2005 5:59;1853;436;Troy;Quigley;troy.quigley@sakilacustomer.org
46;25-05-2005 6:04;3318;7;Maria;Miller;maria.miller@sakilacustomer.org
47;25-05-2005 6:05;2211;35;Virginia;Green;virginia.green@sakilacustomer.org
48;25-05-2005 6:20;1780;282;Jenny;Castro;jenny.castro@sakilacustomer.org
49;25-05-2005 6:39;2965;498;Gene;Sanborn;gene.sanborn@sakilacustomer.org
50;25-05-2005 6:44;1983;18;Carol;Garcia;carol.garcia@sakilacustomer.org
51;25-05-2005 6:49;1257;256;Mabel;Holland;mabel.holland@sakilacustomer.org
52;25-05-2005 6:51;4017;507;Edgar;Rhoads;edgar.rhoads@sakilacustomer.org
53;25-05-2005 7:19;1255;569;Dave;Gardiner;dave.gardiner@sakilacustomer.org
54;25-05-2005 7:23;2787;291;Toni;Holt;toni.holt@sakilacustomer.org
55;25-05-2005 8:26;1139;131;Monica;Hicks;monica.hicks@sakilacustomer.org
56;25-05-2005 8:28;1352;511;Chester;Benner;chester.benner@sakilacustomer.org
57;25-05-2005 8:43;3938;6;Jennifer;Davis;jennifer.davis@sakilacustomer.org
58;25-05-2005 8:53;3050;323;Matthew;Mahan;matthew.mahan@sakilacustomer.org
59;25-05-2005 8:56;2884;408;Manuel;Murrell;manuel.murrell@sakilacustomer.org
60;25-05-2005 8:58;330;470;Gordon;Allard;gordon.allard@sakilacustomer.org
61;25-05-2005 9:01;4210;250;Jo;Fowler;jo.fowler@sakilacustomer.org
62;25-05-2005 9:18;261;419;Chad;Carbone;chad.carbone@sakilacustomer.org
63;25-05-2005 9:19;4008;383;Martin;Bales;martin.bales@sakilacustomer.org
64;25-05-2005 9:21;79;368;Harry;Arce;harry.arce@sakilacustomer.org
65;25-05-2005 9:32;3552;346;Arthur;Simpkins;arthur.simpkins@sakilacustomer.org
66;25-05-2005 9:35;1162;86;Jacqueline;Long;jacqueline.long@sakilacustomer.org
67;25-05-2005 9:41;239;119;Sherry;Marshall;sherry.marshall@sakilacustomer.org
68;25-05-2005 9:47;4029;120;Sylvia;Ortiz;sylvia.ortiz@sakilacustomer.org
69;25-05-2005 10:10;3207;305;Richard;Mccrary;richard.mccrary@sakilacustomer.org
70;25-05-2005 10:15;2168;73;Beverly;Brooks;beverly.brooks@sakilacustomer.org
71;25-05-2005 10:26;2408;100;Robin;Hayes;robin.hayes@sakilacustomer.org
72;25-05-2005 10:52;2260;48;Ann;Evans;ann.evans@sakilacustomer.org
73;25-05-2005 11:00;517;391;Clarence;Gamez;clarence.gamez@sakilacustomer.org
74;25-05-2005 11:09;1744;265;Jennie;Terry;jennie.terry@sakilacustomer.org
75;25-05-2005 11:13;3393;510;Ben;Easter;ben.easter@sakilacustomer.org
76;25-05-2005 11:30;3021;1;Mary;Smith;mary.smith@sakilacustomer.org
77;25-05-2005 11:31;1303;451;Jim;Rea;jim.rea@sakilacustomer.org
78;25-05-2005 11:35;4067;135;Juanita;Mason;juanita.mason@sakilacustomer.org
79;25-05-2005 12:11;3299;245;Courtney;Day;courtney.day@sakilacustomer.org
80;25-05-2005 12:12;2478;314;George;Linton;george.linton@sakilacustomer.org
81;25-05-2005 12:15;2610;286;Velma;Lucas;velma.lucas@sakilacustomer.org
82;25-05-2005 12:17;1388;427;Jesus;Mccartney;jesus.mccartney@sakilacustomer.org
83;25-05-2005 12:30;466;131;Monica;Hicks;monica.hicks@sakilacustomer.org
84;25-05-2005 12:36;1829;492;Lester;Kraus;lester.kraus@sakilacustomer.org
85;25-05-2005 13:05;470;414;Vincent;Ralston;vincent.ralston@sakilacustomer.org
86;25-05-2005 13:36;2275;266;Nora;Herrera;nora.herrera@sakilacustomer.org
87;25-05-2005 13:52;1586;331;Eric;Robert;eric.robert@sakilacustomer.org
88;25-05-2005 14:13;2221;53;Heather;Morris;heather.morris@sakilacustomer.org
89;25-05-2005 14:28;2181;499;Marc;Outlaw;marc.outlaw@sakilacustomer.org
90;25-05-2005 14:31;2984;25;Deborah;Walker;deborah.walker@sakilacustomer.org
